quote	author	date
You know, paint peeling off the walls, like normal.	Stephen	2017
You're like a velociraptor...but a boy.	Stephen	2017
If you work at Jumpstart, you have to deal with glitter.	Marie	2017
We should get a goat back here, or something.	Patrick	2017
Even at home, I wouldn't shank somebody!	JT	2017
I don't know why we laugh at your jokes.	Weber	2017
I gotta go, Danny's in labor	Jess	2017
Should I worry about my eggs?	Bonnie	2018
Not for breakfast, your butt will get sick!	Kiara	2018
Is that all the velcro you have?	Patrick	2018
I'm going to go wash the syrup out of my arm hair.	Danny	2018
It either works, or I broke it.	Patrick	2018
I know how to kill an animal.	Ashley	2018
Isn't that just a fart?	Patrick	2018
I got a lot of skin over here.	Patrick	2018
Their faces were falling off...it was the best!	Elizabeth	2018
They're work stickers!	Victoria	2018
I'm a big fan of words.	Danny	2018
I haven't touched the back end.	Patrick	2018
I'm your nemesis, SQL Man!	Danny	2018
Just blindfold yourself and throw the frog!	Reed	2018
You should get a real plate for stuff that juicy.	Danny	2018
I'm too close to the sausage, that's why I can't see it.	Weber	018
There's still a whole tray full of dillas in there.	Patrick	2018
I smell like I'm on fire!	Patrick	2018
Spit on a baby's face.	Patrick	2018
It's like a dolphin, but its whole butt is missing.	Elizabeth	2018
You wouldn't even make it into a museum, you're too fresh!	Courtney	2018
She's like the Ruth Bader Ginsburg of turtles	Courtney	2018
Guys, I'm meat drunk.	Dylan	2018
It’s one of those giant notecards of a child crying.	Jackie	2018
I'd sell my soul for some free toilet paper.	Patrick	2018
I've got industrial duct tape.	JT	2018
I didn't kill a bunch of monkeys...	Danny	2018
How about canoeing? What about that?	Julie	2018
But first, I'm going to shake some rice out of it.	Danny	2018
Yeah, yeah, it's Puff Daddy!	Patrick	2018
No, I will never stop defenestrating!	Drew	2018
I'm built for retirement.	Jackie	2018
I think I'm more comfortable in Excel than in real life.	Sanya	2018
Process charts can be a tool of the devil.	Amy	2018
This isn't Harry Potter!	JT	2019
In case they need to throw the toilet paper over the stall...	Maggie	2019
That's what messed my Zune up...	Patrick	2019
I fell into a hole of burritos. I found what I was looking for.	Patrick	2019
Is there a significance to the hotdog?	Keuna	2019
I cannot grok the coffee machine.	Weber	2019
